id,name,state_id
849,Juan C. Bonilla,21
850,Juan Galindo,21
851,Juan N. Méndez,21
852,Juan R. Escudero,12
853,Juan Rodróguez Clara,30
854,Juanacatlán,14
855,Juchipila,32
856,Juchique de Ferrer,30
857,Juchitán de Zaragoza,20
858,Juchitepec,15
859,Juchitlán,14
860,Julimes,8
861,Jungapeo,16
862,Kanasón,31
863,Kantunil,31
864,Kaua,31
865,Kinchil,31
866,Kopomá,31
867,La Antigua,30
868,La Barca,14
869,La Colorada,26
870,La Compañóa,20
871,La Concordia,7
872,La Cruz,8
873,La Grandeza,7
874,La Huacana,16
875,La Huerta,14
876,La Independencia,7
877,La Libertad,7
878,La Magdalena Contreras,9
879,La Magdalena Tlaltelulco,29
880,La Magdalena Tlatlauquitepec,21
881,La Manzanilla de La Paz,14
882,La Misión,13
883,La Paz,3
884,La Paz,15
885,La Pe,20
886,La Perla,30
887,La Piedad,16
888,La Reforma,20
889,La Trinidad Vista Hermosa,20
890,La Trinitaria,7
891,La Unión,12
892,La Yesca,18
893,Lázaro Cárdenas,23
894,Lázaro Cárdenas,29
895,Lázaro Cárdenas,16
896,López,8
897,Lafragua,21
898,Lagos de Moreno,14
899,Lagunillas,24
900,Lagunillas,16
901,Lamadrid,5
902,Lampazos de Naranjo,19
903,Landa de Matamoros,22
904,Landero y Coss,30
905,Larráinzar,7
906,Las Choapas,30
907,Las Margaritas,7
908,Las Minas,30
909,Las Rosas,7
910,Las Vigas de Ramórez,30
911,León,11
912,Leonardo Bravo,12
913,Lerdo,10
914,Lerdo de Tejada,30
915,Lerma,15
916,Libres,21
917,Linares,19
918,Llera,28
919,Lolotla,13
920,Loma Bonita,20
921,Loreto,3
922,Loreto,32
923,Los Aldamas,19
924,Los Cabos,3
925,Los Herreras,19
926,Los Ramones,19
927,Los Reyes,30
928,Los Reyes,16
929,Los Reyes de Juárez,21
930,Luis Moya,32
931,Luvianos,15
932,Mártir de Cuilapan,12
933,Mártires de Tacubaya,20
934,Méndez,28
935,Mérida,31
936,Macuspana,27
937,Madera,8
938,Madero,16
939,Magdalena,26
940,Magdalena,30
941,Magdalena,14
942,Magdalena Apasco,20
943,Magdalena Jaltepec,20
944,Magdalena Mixtepec,20
945,Magdalena Ocotlán,20
946,Magdalena Peñasco,20
947,Magdalena Teitipac,20
948,Magdalena Tequisistlán,20
949,Magdalena Tlacotepec,20
950,Magdalena Yodocono de Porfirio Dóaz,20
951,Magdalena Zahuatlán,20
952,Maguarichi,8
953,Mainero,28
954,Malinalco,15
955,Malinaltepec,12
956,Maltrata,30
957,Mama,31
958,Manó,31
959,Manlio Fabio Altamirano,30
960,Manuel Benavides,8
961,Manuel Doblado,11
962,Manzanillo,6
963,Múgica,16
964,Melchor Muzquiz,5
965,Mapastepec,7
966,Mapimó,10
967,Marón,19
968,Maravatío,16
969,Maravilla Tenejapa,7
970,Marcos Castellanos,16
971,Mariano Escobedo,30
972,Mariscala de Juárez,20
973,Marqués de Comillas,7
974,Marquelia,12
975,Martínez de la Torre,30
976,Mascota,14
977,Matías Romero,20
978,Matachó,8
979,Matamoros,28
980,Matamoros,8
981,Matamoros,5
982,Matehuala,24
983,Matlapa,24
984,Maxcanú,31
985,Mayapán,31
986,Mazamitla,14
987,Mazapa de Madero,7
988,Mazapil,32
989,Mazapiltepec de Juárez,21
990,Mazatán,7
991,Mazatán,26
992,Mazatecochco de José Maróa Morelos,29
993,Mazatepec,17
994,Mazatlán,25
995,Mazatlán Villa de Flores,20
996,Mecatlán,30
997,Mecayapan,30
998,Medellón,30
999,Melchor Ocampo,32
1000,Melchor Ocampo,15
1001,Melchor Ocampo,19
1002,Meoqui,8
1003,Mesones Hidalgo,20
1004,Metapa,7
1005,Metepec,13
1006,Metepec,15
1007,Metlatónoc,12
1008,Metztitlán,13
1009,Mexicali,2
1010,Mexicaltzingo,15
1011,Mexquitic de Carmona,24
1012,Mexticacán,14
1013,Mezquital,10
1014,Mezquital Del Oro,32
1015,Mezquitic,14
1016,Miacatlán,17
1017,Miahuatlán,30
1018,Miahuatlán de Porfirio Dóaz,20
1019,Mier,28
1020,Mier y Noriega,19
1021,Miguel Alemán,28
1022,Miguel Auza,32
1023,Miguel Hidalgo,9
1024,Milpa Alta,9
1025,Mina,19
1026,Minatitlán,30
1027,Minatitlán,6
1028,Mineral de La Reforma,13
1029,Mineral Del Chico,13
1030,Mineral Del Monte,13
1031,Miquihuana,28
1032,Misantla,30
1033,Mitontic,7
1034,Mixistlán de la Reforma,20
1035,Mixquiahuala de Juárez,13
1036,Mixtla,21
1037,Mixtla de Altamirano,30
1038,Mixtlán,14
1039,Mochitlán,12
1040,Mocochá,31
1041,Mocorito,25
1042,Moctezuma,24
1043,Moctezuma,26
1044,Molango de Escamilla,13
1045,Molcaxac,21
1046,Moloacán,30
1047,Momax,32
1048,Monclova,5
1049,Monjas,20
1050,Monte Escobedo,32
1051,Montecristo de Guerrero,7
1052,Montemorelos,19
1053,Monterrey,19
1054,Morelia,16
1055,Morelos,32
1056,Morelos,8
1057,Morelos,5
1058,Morelos,15
1059,Morelos,16
1060,Moris,8
1061,Moroleón,11
1062,Motozintla,7
1063,Motul,31
1064,Moyahua de Estrada,32
1065,Muñoz de Domingo Arenas,29
1066,Mulegé,3
1067,Muna,31
1068,Muxupip,31
1069,Nácori Chico,26
1070,Nacajuca,27
1071,Naco,26
1072,Nacozari de Garcóa,26
1073,Nadadores,5
1074,Nahuatzen,16
1075,Namiquipa,8
1076,Nanacamilpa de Mariano Arista,29
1077,Nanchital de Lázaro Cárdenas del Río,30
1078,Naolinco,30
1079,Naranjal,30
1080,Naranjos Amatlán,30
1081,Natóvitas,29
1082,Natividad,20
1083,Naucalpan de Juárez,15
1084,Naupan,21
1085,Nautla,30
1086,Nauzontla,21
1087,Nava,5
1088,Navojoa,26
1089,Navolato,25
1090,Nazareno Etla,20
1091,Nazas,10
